date,state,positive,negative,pending,hospitalized,death,total,hash,dateChecked,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200328,CT,1291.0,7109.0,,173.0,27.0,8400,90ce8de029dfe5ca226ddf1d654ebb6195b03da2,2020-03-28T20:00:00Z,8400,09,0.0,0.0,0.0,0.0,0.0
20200327,CT,1291.0,7109.0,,173.0,27.0,8400,890423bc4025abb5384d27c05582d7b59db0de3c,2020-03-27T20:00:00Z,8400,09,6.0,48.0,1484.0,279.0,1763.0
20200326,CT,1012.0,5625.0,,125.0,21.0,6637,6f853c15409c773ea737ef2d5e4f3be5b2008215,2020-03-26T20:00:00Z,6637,09,2.0,12.0,602.0,137.0,739.0
20200325,CT,875.0,5023.0,,113.0,19.0,5898,af1091940ffe7ce8947bfbaadd9a2e544baa89ce,2020-03-25T20:00:00Z,5898,09,7.0,42.0,341.0,257.0,598.0
20200324,CT,618.0,4682.0,,71.0,12.0,5300,f34accca9a345cddeae7dfea636464d9dd86bff0,2020-03-24T20:00:00Z,5300,09,2.0,17.0,597.0,203.0,800.0
20200323,CT,415.0,4085.0,,54.0,10.0,4500,de97cab582b67461b397b788fc21267a387a8d61,2020-03-23T20:00:00Z,4500,09,5.0,11.0,1208.0,192.0,1400.0
20200322,CT,223.0,2877.0,,43.0,5.0,3100,a63a5e93bb324de39e498270f6eb88d09e81155f,2020-03-22T20:00:00Z,3100,09,1.0,43.0,771.0,29.0,800.0
20200321,CT,194.0,2106.0,,,4.0,2300,959ef064d40bc457202db19ac2297e8456a14bb2,2020-03-21T20:00:00Z,2300,09,1.0,0.0,1502.0,0.0,1502.0
20200320,CT,194.0,604.0,,,3.0,798,1fad29d88c83384e0f8a8230dca8bd5c7fcb6692,2020-03-20T20:00:00Z,798,09,2.0,0.0,0.0,98.0,98.0
20200319,CT,96.0,604.0,,,1.0,700,ef2a8c6a9896be1db5614341b351fcca6a6a43af,2020-03-19T20:00:00Z,700,09,1.0,0.0,479.0,28.0,507.0
20200318,CT,68.0,125.0,,,,193,e3f10a2adb5276a4b79a89acbc27088f24514702,2020-03-18T20:00:00Z,193,09,0.0,0.0,0.0,27.0,27.0
20200317,CT,41.0,125.0,,,,166,92d3801c1c66c7124b655fe343669c4792e6a224,2020-03-17T20:00:00Z,166,09,0.0,0.0,0.0,15.0,15.0
20200316,CT,26.0,125.0,,,,151,19fbdc9d6bdda65d947521b52ad346fbb3ed1054,2020-03-16T20:00:00Z,151,09,0.0,0.0,0.0,6.0,6.0
20200315,CT,20.0,125.0,,,,145,8d40890f893056d08c9192e547a93207b20d5aac,2020-03-15T20:00:00Z,145,09,0.0,0.0,0.0,9.0,9.0
20200314,CT,11.0,125.0,,,,136,7f31e91a95cc935f0e318f0b2146ac3aeb7a7994,2020-03-14T20:00:00Z,136,09,0.0,0.0,26.0,5.0,31.0
20200313,CT,6.0,99.0,,,,105,e9d4ae5c70327d3997b429a58671d2fa8e9d67d6,2020-03-13T20:00:00Z,105,09,0.0,0.0,10.0,0.0,10.0
20200312,CT,6.0,89.0,,,,95,68ed0dcd34dceb73cb21806f23bbbeb5e7620c67,2020-03-12T20:00:00Z,95,09,0.0,0.0,18.0,3.0,21.0
20200311,CT,3.0,71.0,,,,74,af5022b77637cd3d37d0104509a15b8623a38809,2020-03-11T20:00:00Z,74,09,0.0,0.0,17.0,1.0,18.0
20200310,CT,2.0,54.0,,,,56,b85c91df018ecbe856b1324c9aeba2602350a0dc,2020-03-10T20:00:00Z,56,09,0.0,0.0,8.0,1.0,9.0
20200309,CT,1.0,46.0,,,,47,71a1df8bae3abe00ab4f164d2c19fa0ed7aeb364,2020-03-09T20:00:00Z,47,09,0.0,0.0,17.0,0.0,17.0
20200308,CT,1.0,29.0,8.0,,,38,e46de6421eeb1f8359a2b81a84670392bffe31d6,2020-03-08T20:00:00Z,30,09,0.0,0.0,29.0,1.0,30.0
20200307,CT,0.0,,,,,0,98d5a4f67b290f67e3280e8c3f14443825d9f62e,2020-03-07T21:00:00Z,0,09,,,,,
