date,state,positive,negative,pending,hospitalized,death,total,hash,dateChecked,totalTestResults,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200328,NY,52318.0,103616.0,,10054.0,728.0,155934,48075031d0fd463fcdb0367c15d2fda5b6883bfa,2020-03-28T20:00:00Z,155934,36,209.0,1528.0,2498.0,7683.0,10181.0
20200327,NY,44635.0,101118.0,,8526.0,519.0,145753,315e7bd97946c9c63a1b2d0648a51d3e73e6b51c,2020-03-27T20:00:00Z,145753,36,134.0,1682.0,16272.0,7377.0,23649.0
20200326,NY,37258.0,84846.0,,6844.0,385.0,122104,6061eb67c93494274fdee89bdc8bbc80e197f475,2020-03-26T20:00:00Z,122104,36,100.0,3039.0,12178.0,6447.0,18625.0
20200325,NY,30811.0,72668.0,,3805.0,285.0,103479,4ef31e776a148365f2df74d120980b0c3816eed3,2020-03-25T20:00:00Z,103479,36,75.0,571.0,7063.0,5146.0,12209.0
20200324,NY,25665.0,65605.0,,3234.0,210.0,91270,de78deaaa130f496c090f80e6ce48ae3a80aca2e,2020-03-24T20:00:00Z,91270,36,96.0,599.0,8191.0,4790.0,12981.0
20200323,NY,20875.0,57414.0,,2635.0,114.0,78289,ec5dfe2a9fb1a7534ddfa40da717fe1eb342ea58,2020-03-23T20:00:00Z,78289,36,0.0,661.0,11181.0,5707.0,16888.0
20200322,NY,15168.0,46233.0,,1974.0,114.0,61401,1db996f9ee77f1f948cd754356856f98cb734ba6,2020-03-22T20:00:00Z,61401,36,70.0,371.0,11152.0,4812.0,15964.0
20200321,NY,10356.0,35081.0,,1603.0,44.0,45437,df5b43eaa893dc0b1c6b8b722d998541daea78a8,2020-03-21T20:00:00Z,45437,36,9.0,1603.0,9756.0,3254.0,13010.0
20200320,NY,7102.0,25325.0,,,35.0,32427,768a49689cc7b8a1c94c6d80fb31db0a34b7d072,2020-03-20T20:00:00Z,32427,36,23.0,0.0,7193.0,2950.0,10143.0
20200319,NY,4152.0,18132.0,,,12.0,22284,022e1e55f875ccf2a84cd794d4cbc08e7fccfd81,2020-03-19T20:00:00Z,22284,36,0.0,0.0,5917.0,1770.0,7687.0
20200318,NY,2382.0,12215.0,,,12.0,14597,275e6aa59b673852e1a412be69bad97766cf4192,2020-03-18T20:00:00Z,14597,36,5.0,0.0,6709.0,682.0,7391.0
20200317,NY,1700.0,5506.0,,,7.0,7206,4e9377ca9296d918cf5e2668264cc0db6bf1c3a8,2020-03-17T20:00:00Z,7206,36,0.0,0.0,963.0,750.0,1713.0
20200316,NY,950.0,4543.0,,,7.0,5493,cf4882131fb8c7b0169064e5cf608ac3244386f3,2020-03-16T20:00:00Z,5493,36,4.0,0.0,0.0,221.0,221.0
20200315,NY,729.0,4543.0,,,3.0,5272,c94bc9386b8b9332a65a68caea2b77d9226cd7f0,2020-03-15T20:00:00Z,5272,36,3.0,0.0,1764.0,205.0,1969.0
20200314,NY,524.0,2779.0,,,,3303,54ea85dc79481d88377129a87b25542d82831106,2020-03-14T20:00:00Z,3303,36,0.0,0.0,0.0,103.0,103.0
20200313,NY,421.0,2779.0,,,,3200,6fda547acc42c002171b42fd6fa24d610c61477f,2020-03-13T20:00:00Z,3200,36,0.0,0.0,2687.0,205.0,2892.0
20200312,NY,216.0,92.0,,,,308,d57b4b9097165e7d21987a2f82a772b1bdce4d81,2020-03-12T20:00:00Z,308,36,0.0,0.0,0.0,0.0,0.0
20200311,NY,216.0,92.0,,,,308,b25e6d0e621fd1fde43a17ce7295e57200236679,2020-03-11T20:00:00Z,308,36,0.0,0.0,0.0,43.0,43.0
20200310,NY,173.0,92.0,,,,265,4a5c3cc848789d1ad8988ed7e0b5d3685146d13e,2020-03-10T20:00:00Z,265,36,0.0,0.0,0.0,31.0,31.0
20200309,NY,142.0,92.0,,,,234,917b6249196222819cd69f60c3660aa7e4527b2b,2020-03-09T20:00:00Z,234,36,0.0,0.0,0.0,37.0,37.0
20200308,NY,105.0,92.0,,,,197,22912a8c6cdefd796b1412292c796959a8cc088f,2020-03-08T20:00:00Z,197,36,0.0,0.0,0.0,29.0,29.0
20200307,NY,76.0,92.0,236.0,,,404,d9b32dfe41c22decc86fe0a35515525a18b68fa9,2020-03-07T21:00:00Z,168,36,0.0,0.0,0.0,43.0,43.0
20200306,NY,33.0,92.0,236.0,,,361,1bd1fecfd3d23311c604ac6c27d05ce5835af2c5,2020-03-06T21:00:00Z,125,36,0.0,0.0,16.0,11.0,27.0
20200305,NY,22.0,76.0,24.0,,,122,25c15099a4116ff026c04c0b4a6b3780ccba310b,2020-03-05T21:00:00Z,98,36,0.0,0.0,28.0,16.0,44.0
20200304,NY,6.0,48.0,24.0,,,78,1afd6e025157a38728847bbf42145c63b024c387,2020-03-04T21:00:00Z,54,36,,,,,
